Date,Open,High,Low,Close
02/01/2022,"2,680.80","2,810.89","2,679.02","2,790.00"
01/31/2022,"2,560.21","2,706.82","2,480.28","2,680.71"
01/30/2022,"2,619.44","2,638.30","2,545.44","2,558.81"
01/29/2022,"2,535.71","2,637.58","2,516.50","2,620.00"
01/28/2022,"2,359.04","2,549.82","2,331.00","2,537.68"
01/27/2022,"2,419.35","2,519.82","2,317.60","2,359.79"
01/26/2022,"2,413.65","2,724.47","2,406.94","2,419.99"
01/25/2022,"2,444.04","2,507.80","2,351.21","2,414.06"
01/24/2022,"2,422.90","2,545.96","2,160.93","2,442.65"
01/23/2022,"2,446.46","2,548.60","2,367.97","2,422.90"
01/22/2022,"2,620.00","2,640.28","2,310.52","2,448.91"
01/21/2022,"3,075.71","3,089.45","2,563.97","2,614.44"
01/20/2022,"3,114.85","3,272.22","3,083.99","3,083.99"
01/19/2022,"3,164.35","3,192.24","3,049.30","3,114.58"
01/18/2022,"3,165.42","3,242.59","3,086.00","3,164.35"
01/17/2022,"3,331.00","3,362.66","3,154.08","3,168.54"
01/16/2022,"3,335.61","3,391.51","3,277.50","3,331.00"
01/15/2022,"3,332.64","3,370.60","3,263.93","3,337.18"
01/14/2022,"3,271.94","3,342.00","3,191.17","3,332.60"
01/13/2022,"3,370.80","3,411.26","3,237.68","3,271.94"
01/12/2022,"3,231.84","3,412.64","3,208.15","3,370.80"
01/11/2022,"3,074.72","3,264.19","3,054.64","3,232.52"
01/10/2022,"3,188.77","3,199.13","2,933.19","3,073.50"
01/09/2022,"3,076.44","3,210.00","3,060.38","3,188.77"
01/08/2022,"3,216.12","3,245.65","2,999.08","3,080.64"
01/07/2022,"3,426.37","3,434.00","3,094.50","3,216.50"
01/06/2022,"3,556.59","3,568.65","3,299.55","3,426.38"
